Tim Hortons Menu ,,,,,
Text,Label,,,,
Vanilla Coconut Latte ,Hot Beverages,,,,
Vanilla Coconut Cuppocino ,Hot Beverages,,,,
Latte ,Hot Beverages,,,,
Americano,Hot Beverages,,,,
Brewed Coffee,Hot Beverages,,,,
Steaped Tea ,Hot Beverages,,,,
Espresso ,Hot Beverages,,,,
Vanilla Cooconut Cold Brew with Espresso Infused ,Cold Beverages,,,,
Iced Coffee ,Cold Beverages,,,,
Roasted Hazelnut Cold Brew With Espresso Infused ,Cold Beverages,,,,
Strawberry Watermelon ,Cold Beverages,,,,
Peach Quenchers ,Cold Beverages,,,,
Classic Lemonade Quenchers ,Cold Beverages,,,,
Canadian Bacon & Egg Breakfast Sandwich ,Breakfast,,,,
Canadian Bacon Belt ,Breakfast,,,,
Simply Canadian Bacon Sandwich ,Breakfast,,,,
Simply Sausage Sandwich ,Breakfast,,,,
Steak & Egg Breakfast Sandwich ,Breakfast,,,,
Sausage Breakfast Sandwich ,Breakfast,,,,
Bacon Breakfast Sandwich ,Breakfast,,,,
Egg & Cheese Breakfast Sandwich ,Breakfast,,,,
Grilled Breakfast Wrap ,Breakfast,,,,
Bagel Belt ,Breakfast,,,,
Donuts ,Donuts and Timbits,,,,
Assorted Donuts ,Donuts and Timbits,,,,
Timbits ,Donuts and Timbits,,,,
Assorted Timbits ,Donuts and Timbits,,,,
Savoury Pastries ,Baked Goods,,,,
Muffins,Baked Goods,,,,
Croissants ,Baked Goods,,,,
Cookies ,Baked Goods,,,,
Plain Bagel ,Bagels,,,,
Everything Bagel ,Bagels,,,,
Four Cheese Bagel ,Bagels,,,,
Assorter Bagels ,Bagels,,,,
Grain Bagel ,Bagels,,,,
